merchant,description,amount,category,date,timestamp
Amazon Prime,prime subscription,1979.03,ENTERTAINMENT,2024-06-21,2024-06-21 10:09:56
Tata Sky,Wallet Payment - water bill,2000.0,UTILITIES,2024-06-11,2024-06-11 10:09:56
Vedantu,Mobile Banking - school fee,10000.0,EDUCATION,2024-06-02,2024-06-02 10:09:56
College Fee,Net Banking - school fee,2000.0,EDUCATION,2024-09-29,2024-09-29 10:09:56
Zara,medicine purchase,16341.39,SHOPPING,2025-10-09,2025-10-09 10:09:56
Bowling Alley,gaming subscription,149.0,ENTERTAINMENT,2025-01-15,2025-01-15 10:09:56
Electronics Shop,QR Code Payment - cosmetics,174.53,SHOPPING,2025-09-13,2025-09-13 10:09:56
Kotak Securities,stock purchase,5000.0,INVESTMENT,2025-01-28,2025-01-28 10:09:56
Angel Broking,stock purchase,10000.0,INVESTMENT,2025-02-04,2025-02-04 10:09:56
Parking Fee,flight booking,1916.69,TRANSPORTATION,2024-12-18,2024-12-18 10:09:56
Donation,other charges,1000.0,MISCELLANEOUS,2025-08-19,2025-08-19 10:09:56
Franklin Templeton,RTGS Transfer - tax saving investment,50282.62,INVESTMENT,2025-08-29,2025-08-29 10:09:56
Legal Services,personal care,5000.0,MISCELLANEOUS,2025-07-26,2025-07-26 10:09:56
Grofers,Wallet Payment - laptop buying,10376.88,SHOPPING,2025-07-17,2025-07-17 10:09:56
Netflix,prime subscription,1931.04,ENTERTAINMENT,2024-06-03,2024-06-03 10:09:56
Amazon Prime,streaming subscription,499.0,ENTERTAINMENT,2025-07-15,2025-07-15 10:09:56
Library,Wallet Payment - training program,15000.0,EDUCATION,2024-06-25,2024-06-25 10:09:56
Food Court,QR Code Payment - weekend dining,300.0,FOOD_DINING,2025-03-25,2025-03-25 10:09:56
Burger King India,QR Code Payment - food delivery,200.0,FOOD_DINING,2025-01-03,2025-01-03 10:09:56
Family Doctor,medical emergency,500.0,HEALTHCARE,2025-03-22,2025-03-22 10:09:56
Printing Ltd,repair work,38738.53,MISCELLANEOUS,2024-11-29,2024-11-29 10:09:56
Vi,electricity bill,300.0,UTILITIES,2025-01-31,2025-01-31 10:09:56
Taxi Service,flight booking,300.0,TRANSPORTATION,2025-05-13,2025-05-13 10:09:56
Amazon Prime,show tickets,299.0,ENTERTAINMENT,2024-11-28,2024-11-28 10:09:56
Eye Specialist,eye checkup,3335.8,HEALTHCARE,2024-09-03,2024-09-03 10:09:56
Tax Payment,government fee,5000.0,MISCELLANEOUS,2025-07-10,2025-07-10 10:09:56
Box8,food court payment,1190.88,FOOD_DINING,2025-06-06,2025-06-06 10:09:56
Water Board,gas bill,1782.81,UTILITIES,2025-08-20,2025-08-20 10:09:56
Max Hospital,diagnostic test,500.0,HEALTHCARE,2025-06-10,2025-06-10 10:09:56
Life Insurance,tax saving investment,5000.0,INVESTMENT,2024-09-01,2024-09-01 10:09:56
INOX,gaming subscription,149.0,ENTERTAINMENT,2025-05-27,2025-05-27 10:09:56
ALTBalaji,concert booking,199.0,ENTERTAINMENT,2025-06-11,2025-06-11 10:09:56
Book Store,clothes purchase,1000.0,SHOPPING,2025-10-09,2025-10-09 10:09:56
Tikona,mobile recharge,4140.48,UTILITIES,2025-09-09,2025-09-09 10:09:56
Municipal Corporation,water bill,7974.85,UTILITIES,2025-09-01,2025-09-01 10:09:56
GoAir,petrol payment,50.0,TRANSPORTATION,2024-07-13,2024-07-13 10:09:56
Burger King,RTGS Transfer - mess fees,1041.38,FOOD_DINING,2025-07-16,2025-07-16 10:09:56
Local Restaurant,food court payment,162.39,FOOD_DINING,2024-08-06,2024-08-06 10:09:56
pharmacy,UPI Payment - pharmacy,3166.51,HEALTHCARE,2025-08-17,2025-08-17 10:09:56
H&M,clothes purchase,1500.0,SHOPPING,2024-07-11,2024-07-11 10:09:56
Pizza Hut,UPI Payment - dinner payment,938.48,FOOD_DINING,2024-08-22,2024-08-22 10:09:56
Swiggy,dinner payment,513.13,FOOD_DINING,2024-06-25,2024-06-25 10:09:56
Behrouz Biryani,mess fees,400.0,FOOD_DINING,2024-09-14,2024-09-14 10:09:56
DTC,IMPS Payment - metro recharge,942.29,TRANSPORTATION,2025-03-06,2025-03-06 10:09:56
Cleaning Service,Mobile Banking - service fee,500.0,MISCELLANEOUS,2024-12-20,2024-12-20 10:09:56
Fortis Hospital,UPI Payment - physiotherapy,3000.0,HEALTHCARE,2025-07-11,2025-07-11 10:09:56
Voot,gaming subscription,1435.35,ENTERTAINMENT,2024-12-10,2024-12-10 10:09:56
Croma,medicine purchase,5000.0,SHOPPING,2025-02-02,2025-02-02 10:09:56
UTI AMC,investment,50000.0,INVESTMENT,2025-08-05,2025-08-05 10:09:56
BookMyShow,Mobile Banking - music subscription,450.19,ENTERTAINMENT,2025-05-25,2025-05-25 10:09:56
Printing,UPI Payment - service fee,100.0,MISCELLANEOUS,2025-02-15,2025-02-15 10:09:56
Upstox,retirement fund,25000.0,INVESTMENT,2025-06-11,2025-06-11 10:09:56
Diagnostic Center,NEFT Transfer - medicine purchase,200.0,HEALTHCARE,2025-01-16,2025-01-16 10:09:56
Burger King,NEFT Transfer - snacks order,404.72,FOOD_DINING,2025-01-21,2025-01-21 10:09:56
Vedantu,exam fee,96638.97,EDUCATION,2024-11-02,2024-11-02 10:09:56
MSEB,Credit Card Payment - internet bill,2000.0,UTILITIES,2025-09-15,2025-09-15 10:09:56
STATIONERY SHOP,educational material,54519.0,EDUCATION,2025-05-10,2025-05-10 10:09:56
BSNL,water bill,1000.0,UTILITIES,2025-06-22,2025-06-22 10:09:56
Postal Service,IMPS Payment - service charges,7369.62,MISCELLANEOUS,2024-05-29,2024-05-29 10:09:56
Water Park,streaming subscription,122.32,ENTERTAINMENT,2024-05-04,2024-05-04 10:09:56
Kotak Securities,IMPS Payment - investment,96922.63,INVESTMENT,2024-12-06,2024-12-06 10:09:56
Eye Specialist,Wallet Payment - dental treatment,200.0,HEALTHCARE,2025-08-11,2025-08-11 10:09:56
Lifestyle,Net Banking - cosmetics,15301.51,SHOPPING,2024-08-03,2024-08-03 10:09:56
Axis Mutual Fund,investment,1988.35,INVESTMENT,2025-02-09,2025-02-09 10:09:56
Fun Republic,show tickets,681.02,ENTERTAINMENT,2025-03-12,2025-03-12 10:09:56
Family Doctor,NEFT Transfer - pharmacy,516.64,HEALTHCARE,2025-10-01,2025-10-01 10:09:56
ICICI Prudential,retirement fund,91557.14,INVESTMENT,2025-02-25,2025-02-25 10:09:56
Mumbai Metro Online,uber ride,80.0,TRANSPORTATION,2024-09-17,2024-09-17 10:09:56
wbsedcl,mobile recharge,6504.92,UTILITIES,2024-09-04,2024-09-04 10:09:56
Adani Power,IMPS Payment - dth recharge,1748.63,UTILITIES,2024-09-28,2024-09-28 10:09:56
Sagar Ratna,UPI Payment - dinner payment,711.2,FOOD_DINING,2024-05-06,2024-05-06 10:09:56
SBI Mutual Fund Pvt Ltd,QR Code Payment - share trading,451716.14,INVESTMENT,2024-11-28,2024-11-28 10:09:56
Jio,electricity bill,1518.05,UTILITIES,2024-05-07,2024-05-07 10:09:56
Udemy,certification cost,1000.0,EDUCATION,2025-04-02,2025-04-02 10:09:56
Canteen,party order,200.0,FOOD_DINING,2024-10-10,2024-10-10 10:09:56
Adani Power,internet bill,1500.0,UTILITIES,2024-12-18,2024-12-18 10:09:56
Uniqlo,mobile purchase,34064.04,SHOPPING,2025-07-08,2025-07-08 10:09:56
Seminar,training program,15047.84,EDUCATION,2024-07-25,2024-07-25 10:09:56
University,QR Code Payment - educational material,25000.0,EDUCATION,2024-10-19,2024-10-19 10:09:56
Nykaa,Net Banking - medicine purchase,1896.58,SHOPPING,2024-04-25,2024-04-25 10:09:56
BookMyShow,netflix payment,1094.97,ENTERTAINMENT,2025-06-27,2025-06-27 10:09:56
Diagnostic Center,RTGS Transfer - pharmacy,500.0,HEALTHCARE,2025-10-02,2025-10-02 10:09:56
Vedantu,IMPS Payment - training program,29004.97,EDUCATION,2025-04-16,2025-04-16 10:09:56
Eye Specialist,doctor consultation,15399.1,HEALTHCARE,2025-04-15,2025-04-15 10:09:56
Den Networks,Debit Card Payment - phone bill,1000.0,UTILITIES,2024-07-12,2024-07-12 10:09:56
Unacademy,Credit Card Payment - workshop fee,45817.75,EDUCATION,2025-04-15,2025-04-15 10:09:56
School Fee,book purchase,10000.0,EDUCATION,2025-08-11,2025-08-11 10:09:56
Cleaning Service,cash withdrawal,5000.0,MISCELLANEOUS,2025-06-12,2025-06-12 10:09:56
Biryani Blues,mess fees,547.88,FOOD_DINING,2024-06-13,2024-06-13 10:09:56
Upstox,investment,1000.0,INVESTMENT,2025-06-24,2025-06-24 10:09:56
Physiotherapy,Wallet Payment - pharmacy,1000.0,HEALTHCARE,2024-09-11,2024-09-11 10:09:56
Exam Fee,tuition fee,1129.05,EDUCATION,2024-11-16,2024-11-16 10:09:56
Physiotherapy,physiotherapy,192.54,HEALTHCARE,2025-02-20,2025-02-20 10:09:56
Swiggy,breakfast delivery,776.17,FOOD_DINING,2024-09-20,2024-09-20 10:09:56
IRCTC Ltd,parking charges,4787.64,TRANSPORTATION,2024-12-20,2024-12-20 10:09:56
Hathway,IMPS Payment - mobile recharge,3000.0,UTILITIES,2024-10-17,2024-10-17 10:09:56
Gas Agency,phone bill,800.0,UTILITIES,2025-05-19,2025-05-19 10:09:56
Starbucks Pvt Ltd,Debit Card Payment - snacks order,200.0,FOOD_DINING,2025-04-16,2025-04-16 10:09:56
Pizza Hut,weekend dining,400.0,FOOD_DINING,2024-10-10,2024-10-10 10:09:56
Tiffin Service,dinner pymnt,220.49,FOOD_DINING,2025-08-15,2025-08-15 10:09:56
Westside,household items,3000.0,SHOPPING,2024-07-19,2024-07-19 10:09:56
ICICI Direct,investment,444054.68,INVESTMENT,2024-12-31,2024-12-31 10:09:56
Local Store,cosmetics,39069.76,SHOPPING,2025-05-25,2025-05-25 10:09:56
KSEB,Debit Card Payment - maintenance charges,1500.0,UTILITIES,2025-03-22,2025-03-22 10:09:56
Angel Broking,bond investment,3476.64,INVESTMENT,2024-06-14,2024-06-14 10:09:56
Government Services,tax payment,10000.0,MISCELLANEOUS,2024-10-20,2024-10-20 10:09:56
Library,Mobile Banking - tuition fee,1155.13,EDUCATION,2025-07-01,2025-07-01 10:09:56
University,coaching classes,59361.97,EDUCATION,2025-05-09,2025-05-09 10:09:56
Concert Tickets,gaming,999.0,ENTERTAINMENT,2025-01-18,2025-01-18 10:09:56
BYJU'S Store,tuition fee,44688.72,EDUCATION,2025-10-05,2025-10-05 10:09:56
Event Management,Credit Card Payment - miscellaneous expense,100.0,MISCELLANEOUS,2025-05-16,2025-05-16 10:09:56
AIIMS,medical checkup,9734.85,HEALTHCARE,2025-08-08,2025-08-08 10:09:56
Starbucks,canteen recharge,496.51,FOOD_DINING,2025-07-01,2025-07-01 10:09:56
Auto Driver,uber ride,4206.36,TRANSPORTATION,2025-09-22,2025-09-22 10:09:56
Event Management,NEFT Transfer - other charges,42305.46,MISCELLANEOUS,2024-05-31,2024-05-31 10:09:56
Uniqlo,Net Banking - clothes purchase,43710.84,SHOPPING,2025-05-05,2025-05-05 10:09:56
Axis Mutual Fund,investment,100000.0,INVESTMENT,2025-04-28,2025-04-28 10:09:56
Swiggy,Debit Card Payment - lunch order,300.0,FOOD_DINING,2024-05-25,2024-05-25 10:09:56
Behrouz Biryani,RTGS Transfer - dinner payment,1387.05,FOOD_DINING,2025-06-27,2025-06-27 10:09:56
Life Insurance,mutual fund SIP,50000.0,INVESTMENT,2024-05-28,2024-05-28 10:09:56
BSNL,mobile recharge,2000.0,UTILITIES,2024-12-30,2024-12-30 10:09:56
Water Board,UPI Payment - water bill,1734.43,UTILITIES,2025-05-29,2025-05-29 10:09:56
Term Insurance,Credit Card Payment - stock purchase,2000.0,INVESTMENT,2024-12-02,2024-12-02 10:09:56
Eye Specialist,doctor consultation,500.0,HEALTHCARE,2024-09-13,2024-09-13 10:09:56
Zomato,office lunch,1479.25,FOOD_DINING,2025-05-03,2025-05-03 10:09:56
Gift Shop Store,repair work,5000.0,MISCELLANEOUS,2025-08-08,2025-08-08 10:09:56
Rapido,Wallet Payment - train ticket,2157.73,TRANSPORTATION,2024-05-24,2024-05-24 10:09:56
Library,coaching classes,26296.69,EDUCATION,2024-08-21,2024-08-21 10:09:56
Toll Plaza,Wallet Payment - bus ticket,543.16,TRANSPORTATION,2025-05-09,2025-05-09 10:09:56
KSEB,electricity bill,6497.49,UTILITIES,2025-08-17,2025-08-17 10:09:56
Water Park,show tickets,1051.18,ENTERTAINMENT,2024-09-10,2024-09-10 10:09:56
Health Insurance,QR Code Payment - diagnostic test,24125.76,HEALTHCARE,2024-11-06,2024-11-06 10:09:56
Life Insurance,tax saving investment,264686.4,INVESTMENT,2025-03-21,2025-03-21 10:09:56
Kolkata Metro,metro recharge,500.0,TRANSPORTATION,2025-07-26,2025-07-26 10:09:56
Pantaloons,Mobile Banking - cosmetics,3528.03,SHOPPING,2025-05-10,2025-05-10 10:09:56
Dhaba Express,mess fees,200.0,FOOD_DINING,2024-05-31,2024-05-31 10:09:56
Workshop,UPI Payment - educational material,2275.1,EDUCATION,2025-05-05,2025-05-05 10:09:56
Sun Direct,gas bill,6298.41,UTILITIES,2024-12-01,2024-12-01 10:09:56
Printing,gift purchase,51399.35,MISCELLANEOUS,2024-10-14,2024-10-14 10:09:56
Taxi Service,flight booking,218.69,TRANSPORTATION,2024-12-05,2024-12-05 10:09:56
Salon,cash withdrawal,2000.0,MISCELLANEOUS,2025-05-11,2025-05-11 10:09:56
Vistara,IMPS Payment - parking charges,1305.68,TRANSPORTATION,2025-06-12,2025-06-12 10:09:56
ACT Fibernet,internet bill,800.0,UTILITIES,2025-03-10,2025-03-10 10:09:56
WBSEDCL,Wallet Payment - dth recharge,1500.0,UTILITIES,2025-03-14,2025-03-14 10:09:56
SBI Mutual Fund,systematic investment,461496.8,INVESTMENT,2024-06-03,2024-06-03 10:09:56
Parking Fee,flight booking,204.65,TRANSPORTATION,2025-01-15,2025-01-15 10:09:56
Local Store,RTGS Transfer - books order,23845.1,SHOPPING,2025-10-05,2025-10-05 10:09:56
Bank Charges,government fee,500.0,MISCELLANEOUS,2024-11-08,2024-11-08 10:09:56
GoAir,flight booking,3154.41,TRANSPORTATION,2025-09-06,2025-09-06 10:09:56
SBI Securities,retirement fund,362337.74,INVESTMENT,2024-11-05,2024-11-05 10:09:56
BSNL,electricity bill,500.0,UTILITIES,2025-08-12,2025-08-12 10:09:56
Municipal Corporation,Debit Card Payment - society dues,500.0,UTILITIES,2025-03-21,2025-03-21 10:09:56
Water Park,RTGS Transfer - movie ticket,149.0,ENTERTAINMENT,2025-01-21,2025-01-21 10:09:56
Gas Agency,water bill,4165.94,UTILITIES,2025-08-28,2025-08-28 10:09:56
Vi,society dues,300.0,UTILITIES,2024-09-09,2024-09-09 10:09:56
Pathology Lab,medical emergency,5000.0,HEALTHCARE,2024-08-18,2024-08-18 10:09:56
Zerodha,Net Banking - stock purchase,392808.47,INVESTMENT,2025-05-11,2025-05-11 10:09:56
Photography,service charges,34953.57,MISCELLANEOUS,2024-08-19,2024-08-19 10:09:56
Tiffin Service,lunch order,300.0,FOOD_DINING,2024-07-31,2024-07-31 10:09:56
Charity,other charges,944.33,MISCELLANEOUS,2025-06-27,2025-06-27 10:09:56
Bikanervala Ltd,food delivery,250.0,FOOD_DINING,2024-07-27,2024-07-27 10:09:56
Wedding Expenses,Mobile Banking - service charges,500.0,MISCELLANEOUS,2025-03-03,2025-03-03 10:09:56
Unacademy,educational material,82133.88,EDUCATION,2025-10-01,2025-10-01 10:09:56
IRCTC Store,Wallet Payment - auto fare,2000.0,TRANSPORTATION,2025-03-05,2025-03-05 10:09:56
AIIMS,dental treatment,10918.21,HEALTHCARE,2025-02-27,2025-02-27 10:09:56
Dominos,dinner pymnt,149.17,FOOD_DINING,2025-10-04,2025-10-04 10:09:56
Photography.com,personal care,504.94,MISCELLANEOUS,2024-06-02,2024-06-02 10:09:56
Wedding Expenses Ltd,service fee,500.0,MISCELLANEOUS,2025-03-14,2025-03-14 10:09:56
INOX,IMPS Payment - concert booking,499.0,ENTERTAINMENT,2025-01-04,2025-01-04 10:09:56
Spotify,QR Code Payment - netflix payment,901.3,ENTERTAINMENT,2025-06-28,2025-06-28 10:09:56
HDFC Securities,life insurance premium,446833.69,INVESTMENT,2024-11-23,2024-11-23 10:09:56
Subway,party order,300.0,FOOD_DINING,2024-06-25,2024-06-25 10:09:56
HDFC AMC,investment,25000.0,INVESTMENT,2025-02-07,2025-02-07 10:09:56
Tax Payment,other charges,2372.28,MISCELLANEOUS,2024-04-24,2024-04-24 10:09:56
HP Petrol,train ticket,2938.83,TRANSPORTATION,2025-07-28,2025-07-28 10:09:56
SpiceJet,Credit Card Payment - fuel refill,1162.89,TRANSPORTATION,2024-05-02,2024-05-02 10:09:56
Seminar India,school fee,25000.0,EDUCATION,2024-11-21,2024-11-21 10:09:56
Franklin Templeton,mutual fund SIP,2000.0,INVESTMENT,2024-08-20,2024-08-20 10:09:56
Book Store,home appliances,581.2,SHOPPING,2025-02-15,2025-02-15 10:09:56
Book Store,school fee,61307.64,EDUCATION,2024-10-14,2024-10-14 10:09:56
Water Park,entertainment,1499.0,ENTERTAINMENT,2025-06-29,2025-06-29 10:09:56
Seminar,course fee,10000.0,EDUCATION,2025-02-19,2025-02-19 10:09:56
Unacademy,training program,70929.65,EDUCATION,2024-06-26,2024-06-26 10:09:56
H&M,books order,215.64,SHOPPING,2024-12-12,2024-12-12 10:09:56
Kotak Securities,portfolio investment,454376.67,INVESTMENT,2025-04-18,2025-04-18 10:09:56
Flight Booking,Net Banking - flight booking,846.46,TRANSPORTATION,2025-09-14,2025-09-14 10:09:56
Pizza Hut,breakfast delivery,182.95,FOOD_DINING,2025-04-20,2025-04-20 10:09:56
Local Clinic,NEFT Transfer - physiotherapy,5000.0,HEALTHCARE,2025-04-23,2025-04-23 10:09:56
Brand Factory,Credit Card Payment - electronics,2000.0,SHOPPING,2024-10-04,2024-10-04 10:09:56
Subway,breakfast delivery,250.0,FOOD_DINING,2024-10-19,2024-10-19 10:09:56
Supermarket,cosmetics,932.94,SHOPPING,2025-05-22,2025-05-22 10:09:56
MaxHospital,Credit Card Payment - medicine purchase,2195.43,HEALTHCARE,2024-07-29,2024-07-29 10:09:56
Box8,food delivery,500.0,FOOD_DINING,2025-05-10,2025-05-10 10:09:56
Food Court,canteen recharge,171.85,FOOD_DINING,2025-02-09,2025-02-09 10:09:56
Maintenance,phone bill,9436.41,UTILITIES,2024-06-11,2024-06-11 10:09:56
Indian Railways,parking charges,150.0,TRANSPORTATION,2025-06-16,2025-06-16 10:09:56
Kolkata Metro,Mobile Banking - monthly pass,5035.06,TRANSPORTATION,2025-04-18,2025-04-18 10:09:56
Pharmacy,Credit Card Payment - medicine purchase,5000.0,HEALTHCARE,2025-01-13,2025-01-13 10:09:56
MSEB,internet bill,1000.0,UTILITIES,2025-10-12,2025-10-12 10:09:56
Tax Payment,service fee,2000.0,MISCELLANEOUS,2025-05-29,2025-05-29 10:09:56
Burger King,snacks order,173.69,FOOD_DINING,2025-07-29,2025-07-29 10:09:56
Zomato,office lunch,725.73,FOOD_DINING,2024-11-23,2024-11-23 10:09:56
Health Insurance,NEFT Transfer - medical emergency,919.59,HEALTHCARE,2025-01-13,2025-01-13 10:09:56
Westside Store,books order,198.9,SHOPPING,2025-02-15,2025-02-15 10:09:56
Maintenance,QR Code Payment - water bill,3000.0,UTILITIES,2024-12-16,2024-12-16 10:09:56
Nykaa,fashion shopping,40671.86,SHOPPING,2024-08-02,2024-08-02 10:09:56
Behrouz Biryani,QR Code Payment - breakfast delivery,800.0,FOOD_DINING,2025-08-14,2025-08-14 10:09:56
BYJU'S,Credit Card Payment - book purchase,15202.82,EDUCATION,2024-12-09,2024-12-09 10:09:56
Medical Store,RTGS Transfer - electronics,10000.0,SHOPPING,2025-09-08,2025-09-08 10:09:56
Axis Mutual Fund,life insurance premium,112258.69,INVESTMENT,2025-05-13,2025-05-13 10:09:56
Sagar Ratna,restaurant bill,500.0,FOOD_DINING,2025-09-30,2025-09-30 10:09:56
Salon,government fee,5283.86,MISCELLANEOUS,2024-12-04,2024-12-04 10:09:56
Bikanervala,Net Banking - lunch order,1392.68,FOOD_DINING,2024-05-14,2024-05-14 10:09:56
Postal Service,IMPS Payment - cash withdrawal,21913.12,MISCELLANEOUS,2024-08-13,2024-08-13 10:09:56
axis mutual fund,stock purchase,65878.16,INVESTMENT,2025-03-05,2025-03-05 10:09:56
Bus Booking,uber ride,150.0,TRANSPORTATION,2024-10-18,2024-10-18 10:09:56
Online Course,Credit Card Payment - school fee,81479.43,EDUCATION,2025-09-15,2025-09-15 10:09:56
Wellness Center,Debit Card Payment - medicine purchase,883.94,HEALTHCARE,2024-09-12,2024-09-12 10:09:56
Donation,NEFT Transfer - personal care,100.0,MISCELLANEOUS,2024-09-07,2024-09-07 10:09:56
Exam Fee,Mobile Banking - certification cost,10000.0,EDUCATION,2025-01-12,2025-01-12 10:09:56
Kotak Securities,mutual fund SIP,202896.24,INVESTMENT,2024-05-28,2024-05-28 10:09:56
Croma,books order,500.0,SHOPPING,2025-03-12,2025-03-12 10:09:56
Canteen,Credit Card Payment - weekend dining,400.0,FOOD_DINING,2025-03-10,2025-03-10 10:09:56
Brand Factory Store,clothes purchase,11330.14,SHOPPING,2025-08-10,2025-08-10 10:09:56
Salon,other charges,37004.79,MISCELLANEOUS,2024-07-17,2024-07-17 10:09:56
Max Hospital,Debit Card Payment - diagnostic test,7828.97,HEALTHCARE,2025-08-20,2025-08-20 10:09:56
Videocon D2H,cable bill,549.84,UTILITIES,2025-06-28,2025-06-28 10:09:56
Municipal Corporation,electricity bill,2732.26,UTILITIES,2025-03-07,2025-03-07 10:09:56
Tax Payment,repair work,100.0,MISCELLANEOUS,2025-01-04,2025-01-04 10:09:56
Tata Power,broadband payment,328.53,UTILITIES,2025-06-28,2025-06-28 10:09:56
DSP BlackRock,systematic investment,1883.32,INVESTMENT,2025-02-09,2025-02-09 10:09:56
Gift Shop,personal care,5000.0,MISCELLANEOUS,2025-05-09,2025-05-09 10:09:56
Seminar,educational material,10000.0,EDUCATION,2025-02-09,2025-02-09 10:09:56
Book Store,book purchase,14112.68,EDUCATION,2024-04-23,2024-04-23 10:09:56
Fun Republic,prime subscription,167.27,ENTERTAINMENT,2025-06-02,2025-06-02 10:09:56
Tikona,maintenance charges,5246.6,UTILITIES,2025-07-21,2025-07-21 10:09:56
Legal Services Ltd,repair work,10000.0,MISCELLANEOUS,2024-11-01,2024-11-01 10:09:56
Electronics Shop,fashion shopping,200.0,SHOPPING,2025-02-20,2025-02-20 10:09:56
Coaching Center,tuition fee,2000.0,EDUCATION,2024-11-01,2024-11-01 10:09:56
Zerodha,share trading,151758.4,INVESTMENT,2025-02-01,2025-02-01 10:09:56
PVR Cinemas,prime subscription,1080.69,ENTERTAINMENT,2025-05-03,2025-05-03 10:09:56
Starbucks,canteen recharge,1839.78,FOOD_DINING,2024-07-04,2024-07-04 10:09:56
Cleaning Service,maintenance,2000.0,MISCELLANEOUS,2025-01-30,2025-01-30 10:09:56
Kotak Securities,Mobile Banking - bond investment,450000.8,INVESTMENT,2024-12-08,2024-12-08 10:09:56
Angel Broking,investment,2000.0,INVESTMENT,2025-08-21,2025-08-21 10:09:56
Event Management,maintenance,100.0,MISCELLANEOUS,2025-09-22,2025-09-22 10:09:56
Water Board,mobile recharge,4429.26,UTILITIES,2025-07-14,2025-07-14 10:09:56
Ajio,cosmetics,200.0,SHOPPING,2024-08-27,2024-08-27 10:09:56
KFC,breakfast delivery,800.0,FOOD_DINING,2025-03-06,2025-03-06 10:09:56
Life Insurance,retirement fund,71729.86,INVESTMENT,2025-07-17,2025-07-17 10:09:56
Axis Mutual Fund,Mobile Banking - mutual fund SIP,1138.13,INVESTMENT,2025-09-16,2025-09-16 10:09:56
Local Clinic,medical checkup,6951.14,HEALTHCARE,2024-07-28,2024-07-28 10:09:56
Life Insurance,systematic investment,259735.25,INVESTMENT,2025-05-21,2025-05-21 10:09:56
Punjabi Tadka,IMPS Payment - weekend dining,273.91,FOOD_DINING,2025-01-20,2025-01-20 10:09:56
Municipal Corporation.com,mobile recharge,300.0,UTILITIES,2025-05-08,2025-05-08 10:09:56
Spa,IMPS Payment - miscellaneous expense,20218.74,MISCELLANEOUS,2025-08-10,2025-08-10 10:09:56
Rapido,flight booking,458.36,TRANSPORTATION,2025-10-05,2025-10-05 10:09:56
MX Player,gaming subscription,281.09,ENTERTAINMENT,2024-12-25,2024-12-25 10:09:56
Udemy,tuition fee,2000.0,EDUCATION,2024-04-30,2024-04-30 10:09:56
mess payment,dinner payment,1824.74,FOOD_DINING,2024-06-04,2024-06-04 10:09:56
Training,school fee,1000.0,EDUCATION,2025-04-06,2025-04-06 10:09:56
Seminar,Credit Card Payment - course fee,1000.0,EDUCATION,2024-10-07,2024-10-07 10:09:56
Airtel,Wallet Payment - internet bill,1000.0,UTILITIES,2024-11-16,2024-11-16 10:09:56
Seminar,QR Code Payment - certification cost,71352.1,EDUCATION,2025-09-12,2025-09-12 10:09:56
Donation,Mobile Banking - service charges,1000.0,MISCELLANEOUS,2025-10-09,2025-10-09 10:09:56
Rapido,monthly pass,80.0,TRANSPORTATION,2025-09-15,2025-09-15 10:09:56
IRCTC,petrol pymnt,141.26,TRANSPORTATION,2025-09-27,2025-09-27 10:09:56
Fortis Hospital,physiotherapy,16396.2,HEALTHCARE,2025-08-20,2025-08-20 10:09:56
Westside,household items,3000.0,SHOPPING,2025-03-27,2025-03-27 10:09:56
Tata Sky,Mobile Banking - broadband payment,500.0,UTILITIES,2025-08-04,2025-08-04 10:09:56
Unacademy,training program,15000.0,EDUCATION,2025-02-04,2025-02-04 10:09:56
Zee5,prime subscription,1499.0,ENTERTAINMENT,2025-07-06,2025-07-06 10:09:56
Auto Driver,fuel refill,2236.96,TRANSPORTATION,2025-08-20,2025-08-20 10:09:56
Upstox Store,RTGS Transfer - bond investment,450108.63,INVESTMENT,2024-08-21,2024-08-21 10:09:56
Photography Online,Credit Card Payment - maintenance,100.0,MISCELLANEOUS,2025-07-08,2025-07-08 10:09:56
Unacademy,tuition fee,13317.8,EDUCATION,2024-06-24,2024-06-24 10:09:56
Parking Fee,uber ride,500.0,TRANSPORTATION,2024-09-27,2024-09-27 10:09:56
School Fee,tuition fee,90906.37,EDUCATION,2025-07-10,2025-07-10 10:09:56
Bowling Alley,netflix payment,1763.32,ENTERTAINMENT,2024-05-28,2024-05-28 10:09:56
KSEB,broadband payment,5000.0,UTILITIES,2024-12-31,2024-12-31 10:09:56
Donation,government fee,22444.82,MISCELLANEOUS,2025-01-28,2025-01-28 10:09:56
ATM Withdrawal,Credit Card Payment - service fee,10000.0,MISCELLANEOUS,2024-08-03,2024-08-03 10:09:56
Training,IMPS Payment - certification cost,25000.0,EDUCATION,2025-03-17,2025-03-17 10:09:56
Gaming Zone,concert booking,466.82,ENTERTAINMENT,2024-12-15,2024-12-15 10:09:56
Lifestyle,cosmetics,5000.0,SHOPPING,2025-01-05,2025-01-05 10:09:56
Kotak Securities,UPI Payment - stock purchase,428585.42,INVESTMENT,2024-07-24,2024-07-24 10:09:56
KFC,RTGS Transfer - snacks order,98.73,FOOD_DINING,2025-06-27,2025-06-27 10:09:56
ICICI Direct,share trading,1000.0,INVESTMENT,2024-08-19,2024-08-19 10:09:56
Exam Fee,educational material,88884.09,EDUCATION,2024-11-09,2024-11-09 10:09:56
MX Player,RTGS Transfer - music subscription,799.0,ENTERTAINMENT,2024-11-08,2024-11-08 10:09:56
